background,justClass,processedRace,processedWeapons
Criminal,Fighter,Goblin,"Crossbow, hand"
Criminal,Fighter,Custom,Morningstar|Morningstar
Noble,Cleric,Elf,"Mace|Crossbow, Light"
Acolyte,Cleric,Elf,"Mace|Crossbow, Light"
Soldier,Barbarian,Warforged,Greataxe|Handaxe|Javelin|Unarmed Strike
Soldier,Sorcerer,Dragonborn,Dagger
Soldier,Sorcerer,Dragonborn,Quarterstaff|Dagger
Guild Artisan,Wizard,Elf,Dagger
Criminal,Rogue,Half-Elf,Shortsword|Shortbow|Dagger
Noble,Ranger,Elf,Shortsword|Longbow
Knight,Paladin,Human,Javelin
Noble,Wizard,Human,Dagger
Criminal,Sorcerer,Goblin,Quarterstaff|Dagger
Criminal,Druid,Turtle,Scimitar
Hermit,Druid,Firbolg,Quarterstaff
Sage,Warlock,Firbolg,Handaxe|Quarterstaff|Dagger
Guild Artisan,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Acolyte,Wizard,Gnome,Quarterstaff
Sage,Sorcerer,Aasimar,"Crossbow, Light|Dagger"
Folk Hero,Fighter,Human,"Crossbow, Light"
Soldier,Fighter,Turtle,"Lance|Halberd|Crossbow, Light"
Urchin,Warlock,Halfling,Light hammer|Sling|Dagger
Hermit,Artificer,Goblin,"Handaxe|Mace|Crossbow, Light"
Guild Artisan,Artificer,Goblin,"Dagger|Light hammer|Crossbow, Light"
Entertainer,Bard,Firbolg,Longsword|Dagger
Criminal,Monk,Human,Shortsword|Dart|Unarmed Strike
Criminal,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Sage,Wizard,Elf,Quarterstaff|Dagger
Outlander,Paladin,Aasimar,Glaive|Longsword|Longbow
Entertainer,Fighter,Half-Orc,"Lance|Warhammer|Crossbow, Light"
Soldier,Fighter,Half-Elf,"Greatsword|Longbow|Crossbow, Light"
Sage,Wizard,Human,Quarterstaff
Criminal,Warlock,Genasi,"Crossbow, Light|Dagger"
Criminal,Rogue,Elf,Rapier|Shortbow|Dagger
Criminal,Wizard,Half-Elf,Quarterstaff|Whip
Noble,Fighter,Human,"Greatsword|Crossbow, Light"
Folk Hero,Bard,Half-Orc,Rapier|Dagger
Knight,Fighter,Half-Orc,"Greatsword|Whip|Crossbow, Light"
Soldier,Paladin,Human,Halberd|Javelin|Halberd
Pirate,Barbarian,Human,Handaxe|Battleaxe|Longbow|Battleaxe
Soldier,Paladin,Human,Halberd|Javelin
Sailor,Fighter,Elf,"Crossbow, Heavy|Crossbow, Light"
Soldier,Barbarian,Human,Halberd|Handaxe|Javelin|Halberd
Acolyte,Sorcerer,Dragonborn,"Crossbow, Light|Dagger"
Acolyte,Cleric,Elf,"Mace|Crossbow, Light"
Folk Hero,Druid,Elf,Quarterstaff|Scimitar
Urchin,Rogue,Elf,Rapier|Shortbow|Dagger
Folk Hero,Barbarian,Goliath,Greataxe|Javelin
Criminal,Artificer,Warforged,Whip|Halberd|Dagger|Longbow|Javelin
Soldier,Warlock,Tiefling,Dagger
Noble,Wizard,Elf,Longsword
Entertainer,Bard,Tiefling,Dagger|Rapier|Rapier
Entertainer,Bard,Tiefling,Rapier|Dagger
Entertainer,Wizard,Tiefling,Quarterstaff
Criminal,Rogue,Elf,Rapier|Shortbow|Dagger
Guild Artisan,Rogue,Dwarf,Rapier|Shortbow|Dagger
Spy,Sorcerer,Human,"Crossbow, Light|Dagger"
Soldier,Barbarian,Human,Greataxe|Handaxe|Javelin
Soldier,Fighter,Warforged,"Greataxe|Crossbow, Light"
Hermit,Monk,Elf,Quarterstaff|Dart|Unarmed Strike
Soldier,Fighter,Human,Longbow|Rapier|Shortsword|Shortsword
Sailor,Paladin,Aasimar,None
Sailor,Rogue,Aasimar,None
Hermit,Druid,Elf,None
Sailor,Fighter,Human,None
Outlander,Barbarian,Dwarf,None
Hermit,Druid,Elf,None
Charlatan,Warlock,Half-Elf,Club|Quarterstaff|Dagger
Guild Artisan,Rogue,Human,Shortsword|Shortbow|Dagger
Sage,Wizard,Human,Quarterstaff
Charlatan,Monk,Halfling,Spear|Dart|Unarmed Strike
Sage,Wizard,Human,Quarterstaff
Urchin,Ranger,Elf,Shortsword|Longbow|Shortsword|Longbow
Sage,Wizard,Custom,Quarterstaff
Acolyte,Cleric,Firbolg,Mace|Mace
Outlander,Barbarian,Human,Rapier|Longbow|Rapier
Sage,Sorcerer,Tiefling,"Quarterstaff|Dagger|Dart|Longbow|Crossbow, Light|Trident|Shortsword"
Knight,Paladin,Dragonborn,Unarmed Strike|Battleaxe|Halberd|Longbow|Mace|Rapier
Criminal,Rogue,Halfling,Shortsword|Shortbow|Dagger
Soldier,Fighter,Human,War pick|Handaxe
Outlander,Wizard,Human,Quarterstaff
Criminal,Warlock,Tiefling,"Crossbow, Light|Dagger"
Outlander,Druid,Dwarf,Club|Javelin|Quarterstaff
Acolyte,Wizard,Elf,Quarterstaff
Acolyte,Monk,Elf,Shortsword|Dart|Unarmed Strike
Acolyte,Monk,Half-Elf,Shortsword|Dart|Unarmed Strike
Criminal,Rogue,Tiefling,Shortbow|Longsword|Longsword
Criminal,Fighter,Genasi,"Battleaxe|Battleaxe|Crossbow, Light"
Noble,Druid,Half-Orc,Scimitar|Javelin|Longsword
Noble,Sorcerer,Elf,Dagger|Quarterstaff
Criminal,Rogue,Aasimar,Rapier|Shortbow|Dagger
Outlander,Paladin,Half-Elf,Warhammer|Quarterstaff|Longbow|Longsword
Criminal,Rogue,Elf,Shortsword|Dagger|Longbow
Entertainer,Bard,Human,Rapier|Dagger
Outlander,Ranger,Tabaxi,Shortsword|Longbow
Folk Hero,Fighter,Human,Pike|Longsword
Hermit,Cleric,Dwarf,"Warhammer|Crossbow, Light|Battleaxe|Dagger"
Sailor,Cleric,Dwarf,Mace
Criminal,Rogue,Halfling,Shortsword|Shortbow|Dagger
Guild Artisan,Monk,Human,Shortsword|Dart|Unarmed Strike
Outlander,Fighter,Dwarf,Dagger|Dagger
Hermit,Druid,Elf,None
Criminal,Artificer,Gnome,None
Outlander,Druid,Warforged,None
Hermit,Wizard,Elf,None
Acolyte,Wizard,Human,None
Entertainer,Bard,Halfling,Rapier|Dagger
Urchin,Sorcerer,Half-Elf,Dagger|Dagger
Soldier,Cleric,Dwarf,"Warhammer|Crossbow, Light|Warhammer"
Entertainer,Rogue,Human,Rapier|Shortbow|Dagger
Urchin,Cleric,Tiefling,Shortsword
Sailor,Warlock,Genasi,Dagger|Dagger|Club
Folk Hero,Sorcerer,Half-Elf,"Crossbow, Light|Dagger"
Sage,Warlock,Half-Elf,"Crossbow, Light|Dagger"
Acolyte,Paladin,Dwarf,Warhammer|Javelin
Urchin,Wizard,Human,Dagger
Outlander,Ranger,Human,"Shortsword|Crossbow, Heavy|Crossbow, hand"
Criminal,Rogue,Tiefling,Rapier|Shortbow|Dagger
Criminal,Rogue,Elf,Rapier|Shortbow|Dagger|Shortbow|Dagger
Sage,Bard,Halfling,Rapier|Dagger
Outlander,Fighter,Tiefling,"Longbow|Crossbow, Light"
Folk Hero,Cleric,Tabaxi,Mace
Folk Hero,Sorcerer,Elf,Dagger|Dagger
Soldier,Fighter,Half-Orc,"Greatsword|Halberd|Crossbow, Light"
Criminal,Rogue,Tabaxi,"Rapier|Shortbow|Dagger|Crossbow, hand|Crossbow, hand"
Knight,Fighter,Half-Elf,Longbow|Maul
Noble,Rogue,Elf,Rapier|Dagger|Longbow
Folk Hero,Fighter,Dwarf,"Warhammer|Crossbow, Heavy|Handaxe"
Charlatan,Fighter,Human,Longsword|Longsword|Handaxe|Handaxe
Soldier,Paladin,Human,Longsword
Criminal,Monk,Dragonborn,Quarterstaff|Dart|Unarmed Strike
Urchin,Rogue,Firbolg,Shortsword|Shortbow|Dagger
Noble,Wizard,Dragonborn,Quarterstaff
Folk Hero,Paladin,Aasimar,Javelin
Outlander,Barbarian,Human,Handaxe|Javelin
Hermit,Warlock,Tiefling,Mace|Dagger
Folk Hero,Cleric,Human,"Warhammer|Crossbow, Light"
Outlander,Ranger,Human,Shortsword|Longbow
Noble,Monk,Elf,Shortsword|Dart|Unarmed Strike|Longsword
Acolyte,Paladin,Half-Elf,Longsword|Whip|Quarterstaff
Knight,Fighter,Goliath,Longsword|Maul
Acolyte,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Hermit,Paladin,Dwarf,Battleaxe|Handaxe
Soldier,Fighter,Dragonborn,"Crossbow, Light|Greataxe|Maul"
Criminal,Rogue,Dragonborn,Rapier|Shortbow|Dagger
Criminal,Paladin,Human,Longsword|Javelin
Criminal,Ranger,Elf,Shortsword|Longbow
Soldier,Cleric,Goliath,"Warhammer|Crossbow, Light"
Hermit,Sorcerer,Elf,Mace|Dagger
Hermit,Warlock,Goliath,Mace|Mace|Dagger
Knight,Fighter,Warforged,Greatsword|Longsword|Handaxe
Urchin,Rogue,Human,Shortsword|Shortbow|Dagger
Soldier,Paladin,Human,Longsword
Charlatan,Rogue,Tiefling,Rapier|Shortbow|Dagger
Guild Artisan,Paladin,Elf,Warhammer|Javelin
Sage,Warlock,Half-Elf,"Crossbow, Light|Dagger"
Guild Artisan,Fighter,Aasimar,Longbow|Scimitar|Handaxe
Folk Hero,Ranger,Tabaxi,Longbow|Trident|Net|Rapier
Folk Hero,Paladin,Turtle,Battleaxe|Javelin|Greataxe
Folk Hero,Fighter,Half-Orc,"Greatsword|Battleaxe|Battleaxe|Crossbow, Light|Unarmed Strike"
Criminal,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Outlander,Ranger,Elf,Shortsword|Longbow
Knight,Paladin,Aasimar,Warhammer|Javelin
Entertainer,Bard,Halfling,"Dagger|Shortsword|Scimitar|Crossbow, Light"
Sage,Sorcerer,Half-Elf,"Crossbow, Light|Dagger"
Sailor,Rogue,Halfling,Dagger|Shortsword|Scimitar
Knight,Fighter,Dwarf,"Halberd|Maul|Crossbow, Light"
Hermit,Wizard,Gnome,Quarterstaff
Acolyte,Cleric,Firbolg,"Mace|Crossbow, Light"
Sage,Druid,Turtle,Quarterstaff
Acolyte,Sorcerer,Human,Shortbow|Dagger
Sailor,Sorcerer,Tiefling,"Crossbow, Light|Dagger|Quarterstaff"
Outlander,Barbarian,Firbolg,Battleaxe|Shortbow|Javelin|War pick
Acolyte,Sorcerer,Warforged,Greatclub|Dagger
Hermit,Druid,Firbolg,Scimitar
Folk Hero,Druid,Human,Scimitar
Sage,Wizard,Halfling,None
Outlander,Barbarian,Dwarf,None
Entertainer,Bard,Half-Elf,None
Soldier,Fighter,Half-Orc,None
Soldier,Fighter,Human,None
Outlander,Monk,Human,Javelin|Handaxe|Unarmed Strike
Outlander,Ranger,Human,"Shortsword|Crossbow, hand"
Noble,Warlock,Human,Quarterstaff|Shortbow|Dagger
Sage,Warlock,Human,"Crossbow, Light|Dart|Dagger"
Knight,Fighter,Human,Longbow|Longbow|Shortsword
Knight,Paladin,Human,Flail|Javelin|Morningstar
Acolyte,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Acolyte,Paladin,Human,Halberd
Noble,Warlock,Human,None
Charlatan,Rogue,Human,Rapier|Shortbow|Dagger
Outlander,Rogue,Tiefling,Shortsword|Shortsword|Dagger
Entertainer,Barbarian,Goliath,Greataxe|Handaxe|Javelin
Sage,Sorcerer,Human,"Crossbow, Light|Dagger"
Outlander,Monk,Elf,Unarmed Strike|Dagger
Knight,Cleric,Aasimar,"Mace|Crossbow, Light|Quarterstaff|Dagger|Longbow|Greataxe|Greatsword"
Entertainer,Bard,Tiefling,Rapier|Dagger
Outlander,Cleric,Elf,Longbow|Quarterstaff|Sling|Unarmed Strike
Hermit,Ranger,Human,Shortsword|Longbow
Criminal,Rogue,Human,Shortsword|Dagger|Scimitar
Acolyte,Cleric,Human,"Mace|Crossbow, Light"
Sage,Cleric,Elf,"Mace|Crossbow, Light"
Knight,Paladin,Aasimar,Warhammer|Javelin
Urchin,Wizard,Gnome,Dagger
Knight,Paladin,Tiefling,Battleaxe|Javelin
Criminal,Bard,Halfling,Rapier|Dagger
Outlander,Fighter,Human,Halberd|Lance|Spear|Lance
Hermit,Druid,Dragonborn,Sling|Quarterstaff
Outlander,Fighter,Dragonborn,"Greatsword|Longsword|Crossbow, Light|Unarmed Strike"
Urchin,Wizard,Human,Dagger
Sage,Fighter,Human,Unarmed Strike
Folk Hero,Paladin,Human,"Pike|Javelin|Crossbow, Heavy|Greatsword"
Criminal,Fighter,Half-Orc,"Longsword|Crossbow, Light"
Sage,Wizard,Gnome,Quarterstaff
Charlatan,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Guild Artisan,Sorcerer,Gnome,Quarterstaff|Dagger
Soldier,Fighter,Human,Flail|Battleaxe
Acolyte,Cleric,Human,Mace
Noble,Paladin,Human,Greatsword|Javelin
Sailor,Rogue,Human,Rapier|Shortbow|Dagger
Acolyte,Wizard,Human,Quarterstaff
Criminal,Rogue,Human,Rapier|Shortbow|Dagger
Noble,Cleric,Human,Mace
Noble,Paladin,Human,Warhammer|Javelin
Sage,Paladin,Half-Elf,Flail|Rapier|Dagger
Criminal,Rogue,Gnome,Rapier|Rapier
Folk Hero,Paladin,Aasimar,Longsword|Javelin
Criminal,Rogue,Halfling,Shortsword|Shortbow|Dagger
Soldier,Paladin,Aasimar,Warhammer|Javelin
Entertainer,Bard,Aasimar,Rapier|Dagger|Javelin
Urchin,Monk,Halfling,Spear|Dart|Unarmed Strike
Urchin,Barbarian,Warforged,Greataxe|Handaxe|Javelin
Acolyte,Warlock,Human,"Crossbow, Light|Dagger"
Entertainer,Bard,Half-Elf,Rapier|Dagger
Entertainer,Bard,Half-Elf,Rapier|Dagger
Criminal,Bard,Half-Elf,Rapier|Dagger
Criminal,Rogue,Elf,Shortsword|Dagger
Acolyte,Monk,Human,Spear|Dart|Unarmed Strike
Sage,Wizard,Elf,Dagger|Shortsword|Longbow
Gladiator,Fighter,Human,"Longbow|Rapier|Net|Crossbow, hand"
Charlatan,Rogue,Warforged,Rapier|Shortbow|Dagger
Criminal,Barbarian,Goliath,Pike|Greatclub|Javelin
Knight,Paladin,Human,None
Entertainer,Bard,Gnome,Rapier|Dagger
Acolyte,Cleric,Gnome,Mace|Dagger
Soldier,Druid,Elf,Spear|Dagger|Longsword|Longbow
Acolyte,Cleric,Half-Elf,"Mace|Crossbow, Light"
Acolyte,Cleric,Gnome,"Crossbow, Light|Dagger"
Soldier,Paladin,Aasimar,Longsword|Javelin
Knight,Paladin,Aasimar,Longsword|Javelin
Criminal,Monk,Goblin,Quarterstaff|Dart|Unarmed Strike
Charlatan,Warlock,Gnome,"Crossbow, Light|Dagger"
Criminal,Ranger,Half-Orc,Dagger|Handaxe|Longbow
Sage,Wizard,Gnome,Dagger|Sling
Criminal,Rogue,Half-Elf,Shortsword|Shortbow|Dagger|Longbow|Dart
Criminal,Monk,Dwarf,Shortsword|Dart|Unarmed Strike
Sage,Druid,Tiefling,Dart|Dagger|Quarterstaff
Acolyte,Cleric,Firbolg,"Mace|Crossbow, Light"
Folk Hero,Bard,Dwarf,Rapier|Dagger
Hermit,Monk,Elf,Spear|Dart|Unarmed Strike
Entertainer,Bard,Custom,Rapier|Dagger
Sage,Wizard,Tiefling,Dagger
Sage,Cleric,Dragonborn,Mace|Javelin
Soldier,Paladin,Human,"Longsword|Javelin|Crossbow, Heavy|Dagger"
Soldier,Monk,Human,Unarmed Strike
Soldier,Barbarian,Human,Greataxe
Soldier,Sorcerer,Human,"Crossbow, Light|Quarterstaff"
Noble,Warlock,Tiefling,None
Noble,Wizard,Human,Quarterstaff
Criminal,Monk,Tabaxi,Shortsword|Dart|Unarmed Strike
Entertainer,Bard,Elf,Rapier|Dagger|Scimitar
Acolyte,Cleric,Firbolg,"Mace|Crossbow, Light"
Charlatan,Monk,Human,Shortsword|Dart|Unarmed Strike
Knight,Fighter,Human,Greatsword|Warhammer|Longbow
Criminal,Rogue,Elf,Rapier|Shortbow|Dagger
Noble,Sorcerer,Tiefling,Dagger
Guild Artisan,Ranger,Dragonborn,Longbow|Scimitar
Acolyte,Cleric,Elf,"Mace|Crossbow, Light"
Outlander,Ranger,Elf,Dagger|Dagger|Longbow
Folk Hero,Paladin,Dragonborn,Warhammer|Javelin
Entertainer,Bard,Gnome,Rapier|Dagger
Outlander,Druid,Gnome,Scimitar|Quarterstaff
Knight,Paladin,Tiefling,Greatsword|Mace
Guild Artisan,Cleric,Dwarf,Warhammer|Handaxe
Soldier,Ranger,Elf,Shortsword|Longbow
Criminal,Bard,Tabaxi,Shortbow|Dagger
Noble,Cleric,Human,"Mace|Crossbow, Light"
Sailor,Fighter,Human,Halberd|Handaxe|Handaxe|Longbow
Charlatan,Sorcerer,Dragonborn,Quarterstaff|Dagger
Outlander,Monk,Tabaxi,Shortsword|Dart|Unarmed Strike
Hermit,Druid,Dwarf,Scimitar
Acolyte,Monk,Tabaxi,Shortsword|Dart|Unarmed Strike
Entertainer,Barbarian,Dwarf,Glaive|Handaxe|Javelin
Soldier,Fighter,Dwarf,"Battleaxe|Crossbow, Light|Battleaxe"
Noble,Rogue,Halfling,Rapier|Shortbow|Dagger
Sage,Sorcerer,Half-Elf,"Dagger|Shortsword|Crossbow, Light"
Outlander,Ranger,Human,Shortsword|Longbow
Soldier,Cleric,Elf,Mace|Spear
Guild Artisan,Wizard,Elf,Dagger
Hermit,Druid,Firbolg,None
Acolyte,Cleric,Dragonborn,Mace|Quarterstaff
Soldier,Barbarian,Dwarf,Greataxe|Handaxe|Javelin|Spear
Criminal,Ranger,Human,Shortsword|Longbow
Folk Hero,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Acolyte,Sorcerer,Human,"Crossbow, Light|Dagger"
Folk Hero,Sorcerer,Dwarf,"Crossbow, Light|Dagger"
Hermit,Monk,Custom,Unarmed Strike
Acolyte,Cleric,Half-Orc,"Mace|Crossbow, Light"
Soldier,Paladin,Dragonborn,Longsword|Javelin
Acolyte,Cleric,Human,"Mace|Crossbow, Light"
Criminal,Rogue,Elf,Rapier|Shortbow|Dagger
Sailor,Bard,Aasimar,Rapier|Dagger
Criminal,Rogue,Elf,Rapier|Shortbow|Dagger
Outlander,Ranger,Human,Shortsword|Longbow
Acolyte,Paladin,Dragonborn,Maul|Greatsword|Javelin
Hermit,Druid,Dwarf,Scimitar
Noble,Warlock,Tiefling,"Crossbow, Light|Dagger|Rapier"
Sage,Sorcerer,Human,"Crossbow, Light|Dagger"
Sage,Druid,Elf,Scimitar
Knight,Fighter,Human,Longsword|Handaxe
Guild Artisan,Wizard,Elf,Quarterstaff
Sage,Wizard,Human,Quarterstaff
Hermit,Druid,Elf,None
Soldier,Fighter,Dwarf,Maul|Handaxe|Maul
Outlander,Barbarian,Half-Orc,Greatsword|Shortbow|Javelin|Greatsword|Greatsword|Greatsword
Criminal,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Entertainer,Sorcerer,Half-Elf,"Crossbow, Light|Dagger"
Outlander,Fighter,Half-Orc,Longsword|Greataxe
Entertainer,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Hermit,Druid,Genasi,None
Criminal,Sorcerer,Genasi,"Crossbow, Light|Quarterstaff"
Charlatan,Rogue,Elf,Shortbow|Dagger|Rapier|Dagger|Dagger|Dagger|Rapier|Dagger
Criminal,Rogue,Human,Shortsword|Shortbow|Dagger|Dagger|Rapier
Soldier,Fighter,Human,"Greataxe|Battleaxe|Crossbow, Light"
Outlander,Rogue,Elf,Rapier|Dagger|Longbow
Charlatan,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Sage,Artificer,Human,"Dagger|Quarterstaff|Crossbow, Light"
Folk Hero,Monk,Turtle,Unarmed Strike|Dart|Unarmed Strike
Sailor,Bard,Half-Elf,Rapier|Dagger
Soldier,Artificer,Tiefling,"Javelin|Dagger|Crossbow, Light"
Knight,Warlock,Half-Elf,Quarterstaff|Dagger
Hermit,Druid,Human,None
Sage,Wizard,Human,Quarterstaff|Spear
Criminal,Barbarian,Custom,Greataxe|Handaxe|Javelin
Folk Hero,Cleric,Half-Elf,"Mace|Crossbow, Light"
Sailor,Fighter,Dwarf,Handaxe|Longsword
Soldier,Sorcerer,Goliath,Dagger|Dagger
Knight,Cleric,Dragonborn,"Mace|Crossbow, Light|Dagger"
Outlander,Monk,Tabaxi,Quarterstaff|Dart|Unarmed Strike
Folk Hero,Fighter,Dragonborn,"Crossbow, Heavy|Handaxe|Crossbow, Light"
Sailor,Barbarian,Human,Greataxe|Longsword
Soldier,Fighter,Dwarf,Battleaxe|Battleaxe|Handaxe
Sage,Cleric,Human,"Mace|Crossbow, Light|Quarterstaff|Dagger|Handaxe"
Noble,Wizard,Tiefling,Dagger
Sailor,Bard,Dragonborn,Longsword|Dagger
Charlatan,Sorcerer,Halfling,"Crossbow, Light|Dagger"
Folk Hero,Paladin,Dwarf,Longsword
Soldier,Ranger,Elf,Shortsword|Longbow
Hermit,Monk,Gnome,Quarterstaff|Dart|Unarmed Strike
Outlander,Barbarian,Turtle,Greataxe|Handaxe|Javelin
Charlatan,Rogue,Tabaxi,Rapier|Shortsword|Dagger
Entertainer,Rogue,Half-Elf,Rapier|Shortbow|Dagger
Soldier,Fighter,Human,"Crossbow, Light"
Entertainer,Bard,Dwarf,None
Outlander,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Folk Hero,Ranger,Elf,Shortsword|Longbow
Charlatan,Warlock,Aasimar,Shortbow|Rapier|Dagger
Noble,Wizard,Genasi,Quarterstaff
Noble,Paladin,Dragonborn,Greataxe|Maul|Handaxe
Soldier,Barbarian,Dwarf,Greataxe|Handaxe|Javelin|Unarmed Strike
Entertainer,Rogue,Human,Shortsword|Shortsword|Dagger
Soldier,Fighter,Half-Orc,Greataxe|Warhammer|Handaxe|Longsword|Longsword|Halberd|Javelin|Javelin
Soldier,Sorcerer,Dragonborn,Quarterstaff|Dagger
Soldier,Wizard,Gnome,Dagger
Noble,Ranger,Elf,Shortsword|Longbow
Hermit,Monk,Elf,Dart|Unarmed Strike|Dagger
Charlatan,Rogue,Tabaxi,Shortsword|Shortsword|Dagger
Outlander,Ranger,Tiefling,Shortsword|Longbow
Soldier,Fighter,Human,Glaive|Handaxe
Noble,Rogue,Half-Orc,Shortsword|Shortbow|Dagger
Soldier,Barbarian,Goblin,Maul|Handaxe|Javelin
Guild Artisan,Warlock,Gnome,"Crossbow, Light|Dagger"
Noble,Bard,Human,Rapier|Dagger|Dagger
Urchin,Fighter,Goblin,Dagger
Criminal,Wizard,Human,Dagger
Criminal,Monk,Human,Shortsword|Dart|Unarmed Strike
Noble,Paladin,Aasimar,Flail|Javelin
Acolyte,Paladin,Genasi,Javelin
Noble,Sorcerer,Tiefling,Quarterstaff|Dagger
Outlander,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Sailor,Sorcerer,Half-Elf,Quarterstaff|Dagger
Charlatan,Rogue,Halfling,Rapier|Shortbow|Dagger
Soldier,Fighter,Turtle,"Greatsword|Crossbow, Light"
Charlatan,Rogue,Halfling,Shortsword|Shortbow|Dagger
